This is sort by Life Expectancyfor the year 2000.
('Kyrgyz Republic', 67.0, 2160.0)
('Bhutan', 67.1, 3640.0)
('Turkmenistan', 67.1, 5510.0)
('Azerbaijan', 67.2, 5020.0)
('Bolivia', 67.2, 4360.0)
('Uzbekistan', 67.3, 2590.0)
('Indonesia', 67.6, 5940.0)
('Iraq', 67.6, 12100.0)
('Tajikistan', 68.2, 1280.0)
('Belarus', 68.3, 7970.0)
('Ukraine', 68.3, 5290.0)
('Egypt', 68.5, 7620.0)
('Guatemala', 68.6, 6070.0)
('Moldova', 68.9, 2990.0)
('Philippines', 69.2, 4260.0)
('Suriname', 69.5, 10100.0)
('Morocco', 69.7, 4760.0)
('Palestine', 69.8, 3260.0)
('Latvia', 70.2, 12100.0)
('Trinidad and Tobago', 70.6, 19000.0)
('Honduras', 70.7, 3300.0)
('Tonga', 70.7, 4750.0)
('Estonia', 70.8, 16800.0)
('Belize', 70.9, 7080.0)
('Romania', 71.1, 11100.0)
('Cape Verde', 71.5, 3920.0)
('Bahamas', 71.6, 33300.0)
('Seychelles', 71.7, 18000.0)
('St. Vincent and the Grenadines', 71.7, 7680.0)
('Vietnam', 71.7, 2710.0)
('Brazil', 71.8, 11400.0)
('Lithuania', 71.8, 13100.0)
('Samoa', 71.8, 4610.0)
('United Arab Emirates', 71.8, 99400.0)
('Bulgaria', 71.9, 9350.0)
('El Salvador', 72.3, 5620.0)
('Hungary', 72.4, 18700.0)
('Mauritius', 72.4, 11600.0)
('Serbia', 72.4, 8350.0)
('Armenia', 72.6, 3220.0)
('China', 72.6, 3970.0)
('Thailand', 72.6, 9420.0)
('Sri Lanka', 72.7, 5420.0)
('Georgia', 73.0, 3760.0)
('Maldives', 73.0, 9190.0)
('Jordan', 73.1, 7460.0)
('Malaysia', 73.2, 16000.0)
('Syria', 73.2, 5210.0)
('Libya', 73.3, 21200.0)
('Oman', 73.4, 45400.0)
('Bahrain', 73.7, 43900.0)
('Iran', 73.7, 13200.0)
('North Macedonia', 73.7, 8320.0)
('Slovak Republic', 73.7, 16200.0)
('Dominica', 73.9, 8220.0)
('Brunei', 74.0, 82600.0)
('Dominican Republic', 74.0, 8370.0)
('Montenegro', 74.0, 10500.0)
('Venezuela', 74.0, 14800.0)
('Grenada', 74.1, 9310.0)
('St. Lucia', 74.1, 10200.0)
('Algeria', 74.2, 10400.0)
('Jamaica', 74.2, 7990.0)
('Argentina', 74.3, 14200.0)
('Colombia', 74.3, 8420.0)
('Poland', 74.3, 14900.0)
('Tunisia', 74.6, 7790.0)
('Croatia', 74.8, 16800.0)
('Ecuador', 74.8, 7510.0)
('Paraguay', 74.8, 7760.0)
('Saudi Arabia', 74.8, 41700.0)
('Turkey', 74.8, 12800.0)
('Antigua and Barbuda', 74.9, 19500.0)
('Mexico', 74.9, 15800.0)
('Qatar', 74.9, 108000.0)
('Uruguay', 74.9, 12400.0)
('Nicaragua', 75.0, 3470.0)
('Albania', 75.2, 5950.0)
('Barbados', 75.3, 15000.0)
('Czech Republic', 75.3, 21900.0)
('Bosnia and Herzegovina', 75.5, 6620.0)
('Peru', 75.6, 6390.0)
('Lebanon', 75.7, 10600.0)
('Slovenia', 76.2, 23400.0)
('Chile', 76.8, 14500.0)
('South Korea', 76.8, 21500.0)
('United States', 76.9, 45700.0)
('Cyprus', 77.0, 30200.0)
('Portugal', 77.0, 26300.0)
('Cuba', 77.1, 5060.0)
('Denmark', 77.2, 42500.0)
('Ireland', 77.2, 40800.0)
('Panama', 77.7, 10500.0)
('Costa Rica', 78.0, 9950.0)
('Belgium', 78.1, 37400.0)
('Finland', 78.2, 35700.0)
('United Kingdom', 78.2, 34000.0)
('Luxembourg', 78.3, 82800.0)
('Netherlands', 78.3, 42700.0)
('Germany', 78.6, 37300.0)
('New Zealand', 78.6, 28900.0)
('Austria', 78.7, 39200.0)
('Malta', 78.7, 24600.0)
('Norway', 78.8, 59000.0)
('Israel', 78.9, 26200.0)
('Greece', 79.0, 25700.0)
('France', 79.2, 35100.0)
('Kuwait', 79.3, 68700.0)
('Canada', 79.5, 37800.0)
('Singapore', 79.6, 50400.0)
('Spain', 79.7, 31000.0)
('Italy', 79.8, 37200.0)
('Sweden', 79.8, 37400.0)
('Australia', 80.0, 35600.0)
('Iceland', 80.4, 35800.0)
('Switzerland', 80.5, 51100.0)
('Andorra', 81.4, 31800.0)
('Japan', 81.7, 33900.0)

This is sort by Life Expectancyfor the year 2002.
('Central African Republic', 44.4, 881.0)
('Malawi', 45.3, 813.0)
('Eswatini', 45.4, 6420.0)
('Zimbabwe', 45.6, 2710.0)
('Lesotho', 46.5, 1710.0)
('Burundi', 46.6, 728.0)
('Zambia', 47.0, 2220.0)
('Mozambique', 50.5, 663.0)
('Uganda', 50.7, 1150.0)
('Sierra Leone', 51.5, 993.0)
('Botswana', 51.9, 11000.0)
('Rwanda', 52.3, 929.0)
('Chad', 52.5, 1110.0)
('Guinea-Bissau', 52.6, 1370.0)
("Cote d'Ivoire", 52.9, 2810.0)
('Namibia', 53.1, 6720.0)
('Niger', 53.2, 774.0)
('Somalia', 53.3, 607.0)
('Burkina Faso', 53.4, 1130.0)
('Angola', 53.5, 4320.0)
('South Africa', 53.8, 10100.0)
('Ethiopia', 53.9, 645.0)
('"Congo, Dem. Rep."', 54.3, 545.0)
('"Congo, Rep."', 54.3, 4740.0)
('Mali', 54.5, 1640.0)
('Cameroon', 54.6, 2650.0)
('Tanzania', 54.8, 1690.0)
('Eritrea', 55.0, 2570.0)
('Liberia', 55.0, 1330.0)
('Guinea', 55.2, 1590.0)
('South Sudan', 55.4, 2980.0)
('Afghanistan', 55.6, 1020.0)
('Nigeria', 55.7, 3570.0)
('Kenya', 55.8, 2070.0)
('Papua New Guinea', 55.8, 2500.0)
('Togo', 56.8, 1140.0)
('Benin', 58.1, 1730.0)
('Lao', 58.4, 2700.0)
('Haiti', 58.5, 1680.0)
('Equatorial Guinea', 58.6, 20200.0)
('Gabon', 59.0, 17300.0)
('Ghana', 59.5, 2300.0)
('Kiribati', 59.6, 1970.0)
('Myanmar', 59.6, 1580.0)
('Madagascar', 59.8, 1260.0)
('Djibouti', 60.9, 2180.0)
('Solomon Islands', 61.2, 1540.0)
('Cambodia', 61.5, 1530.0)
('Senegal', 61.5, 2430.0)
('North Korea', 61.9, 1680.0)
('Gambia', 62.0, 1390.0)
('Marshall Islands', 62.0, 3120.0)
('Pakistan', 62.3, 3410.0)
('Mongolia', 62.8, 4930.0)
('Comoros', 62.9, 2380.0)
('Vanuatu', 63.3, 2470.0)
('India', 63.9, 2850.0)
('Sudan', 64.0, 2490.0)
('Mauritania', 64.4, 2760.0)
('Yemen', 64.4, 4070.0)
('"Micronesia, Fed. Sts."', 65.1, 3210.0)
('Russia', 65.3, 15600.0)
('Sao Tome and Principe', 65.3, 1980.0)
('Kazakhstan', 65.5, 12400.0)
('Timor-Leste', 66.1, 3180.0)
('Guyana', 66.2, 4790.0)
('Bangladesh', 66.5, 1780.0)
('Nepal', 66.5, 1550.0)
('Fiji', 66.6, 6990.0)
('Kyrgyz Republic', 67.0, 2140.0)
('Turkmenistan', 67.1, 5470.0)
('Uzbekistan', 67.1, 2660.0)
('Azerbaijan', 67.3, 5450.0)
('Bolivia', 67.6, 4390.0)
('Iraq', 67.7, 11000.0)
('Belarus', 67.8, 8430.0)
('Bhutan', 67.8, 3950.0)
('Indonesia', 67.8, 6120.0)
('Ukraine', 68.2, 5630.0)
('Egypt', 68.4, 7660.0)
('Tajikistan', 68.5, 1390.0)
('Palestine', 68.9, 2780.0)
('Moldova', 69.1, 3230.0)
('Philippines', 69.1, 4320.0)
('Guatemala', 69.3, 6160.0)
('Suriname', 69.4, 10300.0)
('Morocco', 70.0, 4850.0)
('Latvia', 70.5, 13100.0)
('Tonga', 70.7, 4880.0)
('Honduras', 71.0, 3340.0)
('Romania', 71.1, 12000.0)
('Trinidad and Tobago', 71.1, 20500.0)
